rut,nombre,apellido,curso,asignatura,nota1,nota2,nota3,asistencia
070967879,Sofia,Perez,primer anio,Introduccion al Cloud Computing,5.0,4.1,3.4,68
670403817,Ana,Perez,primer anio,Introduccion al Cloud Computing,2.4,5.1,2.8,80
170830358,Carlos,Sanchez,primer anio,Introduccion al Cloud Computing,6.5,4.2,4.6,76
168507913,Jorge,Ramirez,primer anio,Introduccion al Cloud Computing,2.4,6.0,2.5,64
066576959,Maria,Ramirez,primer anio,Introduccion al Cloud Computing,5.2,2.4,3.0,42
647127575,Luis,Martinez,primer anio,Introduccion al Cloud Computing,2.4,2.6,5.8,81
730898755,Luis,Perez,primer anio,Introduccion al Cloud Computing,5.2,4.3,1.7,78
807575959,Ana,Ramirez,primer anio,Introduccion al Cloud Computing,1.9,1.2,2.2,85
609650373,Carlos,Gonzalez,primer anio,Introduccion al Cloud Computing,1.7,5.2,4.1,62
781005697,Carlos,Rodriguez,primer anio,Introduccion al Cloud Computing,1.6,4.1,2.1,62
407945514,Carlos,Lopez,primer anio,Introduccion al Cloud Computing,4.5,4.3,2.7,64
262785103,Maria,Gonzalez,primer anio,Introduccion al Cloud Computing,2.5,4.9,5.5,66
821953195,Juan,Garcia,primer anio,Introduccion al Cloud Computing,4.8,2.6,6.7,41
284309767,Jorge,Gonzalez,primer anio,Introduccion al Cloud Computing,3.0,5.1,3.1,48
070762882,Juan,Gonzalez,primer anio,Introduccion al Cloud Computing,2.9,6.4,6.6,67
949663290,Carlos,Lopez,primer anio,Introduccion al Cloud Computing,4.7,1.5,2.0,87
138804432,Jorge,Vazquez,primer anio,Introduccion al Cloud Computing,2.7,1.4,3.0,89
736944755,Ana,Rodriguez,primer anio,Introduccion al Cloud Computing,6.1,5.5,1.7,81
012541103,Maria,Sanchez,primer anio,Introduccion al Cloud Computing,3.2,4.4,2.0,82
345736257,Ana,Ramirez,primer anio,Introduccion al Cloud Computing,1.9,1.8,4.5,44
891756711,Juan,Garcia,primer anio,Fundamentos de Programacion,5.6,4.1,6.7,66
829015477,Maria,Garcia,primer anio,Fundamentos de Programacion,2.6,4.9,5.6,52
