nombre,apellido,edad,rut,AFP,Cargo,antiguedad,Sueldo,Mes,Año,genero
Maria,Lopez,38,23324353-2,Habitat,Ingeniero,9,1648506,Abril,2023,Femenino
Maria,Lopez,38,23324353-2,Habitat,Ingeniero,9,1730931,Abril,2022,Femenino
Maria,Lopez,38,23324353-2,Habitat,Ingeniero,9,1800168,Agosto,2023,Femenino
Maria,Lopez,38,23324353-2,Habitat,Ingeniero,9,1890176,Agosto,2022,Femenino
Maria,Lopez,38,23324353-2,Habitat,Ingeniero,9,1965783,Diciembre,2021,Femenino
Maria,Lopez,38,23324353-2,Habitat,Ingeniero,9,2024756,Diciembre,2022,Femenino
Maria,Lopez,38,23324353-2,Habitat,Ingeniero,9,2105746,Diciembre,2023,Femenino
Maria,Lopez,38,23324353-2,Habitat,Ingeniero,9,2211033,Enero,2022,Femenino
Maria,Lopez,38,23324353-2,Habitat,Ingeniero,9,2299474,Enero,2023,Femenino
Maria,Lopez,38,23324353-2,Habitat,Ingeniero,9,2414447,Febrero,2022,Femenino
Maria,Lopez,38,23324353-2,Habitat,Ingeniero,9,2511024,Febrero,2023,Femenino
Maria,Lopez,38,23324353-2,Habitat,Ingeniero,9,2636575,Julio,2022,Femenino
Maria,Lopez,38,23324353-2,Habitat,Ingeniero,9,2742038,Julio,2023,Femenino
Maria,Lopez,38,23324353-2,Habitat,Ingeniero,9,2879139,Junio,2023,Femenino
Maria,Lopez,38,23324353-2,Habitat,Ingeniero,9,3023095,Junio,2022,Femenino
Maria,Lopez,38,23324353-2,Habitat,Ingeniero,9,3144018,Marzo,2022,Femenino
Maria,Lopez,38,23324353-2,Habitat,Ingeniero,9,3269778,Marzo,2023,Femenino
Maria,Lopez,38,23324353-2,Habitat,Ingeniero,9,3433266,Mayo,2022,Femenino
Maria,Lopez,38,23324353-2,Habitat,Ingeniero,9,3570596,Mayo,2023,Femenino
Maria,Lopez,38,23324353-2,Habitat,Ingeniero,9,3749125,Noviembre,2022,Femenino
Maria,Lopez,38,23324353-2,Habitat,Ingeniero,9,3899090,Noviembre,2023,Femenino
Maria,Lopez,38,23324353-2,Habitat,Ingeniero,9,4094044,Octubre,2022,Femenino
Maria,Lopez,38,23324353-2,Habitat,Ingeniero,9,4257805,Octubre,2023,Femenino
Maria,Lopez,38,23324353-2,Habitat,Ingeniero,9,4470695,Septiembre,2022,Femenino
Maria,Lopez,38,23324353-2,Habitat,Ingeniero,9,4649522,Septiembre,2023,Femenino
Pedro,Martinez,48,24735289-K,Modelo,Analista,1,977305,Abril,2023,Masculino
Pedro,Martinez,48,24735289-K,Modelo,Analista,1,1026170,Agosto,2023,Masculino
Pedro,Martinez,48,24735289-K,Modelo,Analista,1,1077478,Diciembre,2023,Masculino
Pedro,Martinez,48,24735289-K,Modelo,Analista,1,1131351,Enero,2023,Masculino
Pedro,Martinez,48,24735289-K,Modelo,Analista,1,1187918,Febrero,2023,Masculino
